epsilon_r,lambda_tf,mu_minus,operational status
7.95,5.75,-0.255,1
5,5.7,-0.3325,1
9.35,5.05,-0.1875,1
7.85,5.2,-0.205,1
5.95,6.1,-0.3175,1
5.9,5.95,-0.33,1
6.05,4.9,-0.3,1
6,4.9,-0.2675,1
6.65,5.5,-0.285,1
6.35,5.15,-0.25,1
4.7,4.75,-0.4075,1
6.1,5.1,-0.3275,1
5.5,4.95,-0.29,1
6.4,6.05,-0.2925,1
5.25,5.9,-0.4,1
7.1,5.65,-0.235,1
9.45,5.8,-0.215,1
5.85,5.75,-0.31,1
7.55,5.5,-0.2575,1
5.95,5.2,-0.2975,1
6.8,5.45,-0.2725,1
7.6,6.05,-0.27,1
9.1,5.05,-0.1875,1
4.75,5.7,-0.395,1
4.75,4.85,-0.335,1
7.5,5.15,-0.2275,1
5,5.4,-0.36,1
7.15,5.75,-0.285,1
6.5,5.85,-0.26,1
7.25,5.05,-0.2725,1
9.2,6,-0.195,1
9,5.55,-0.225,1
5.45,5,-0.3075,1
8.6,5.2,-0.2225,1
6.65,5.5,-0.3,1
4.65,5.25,-0.435,1
4.85,4.7,-0.355,1
7.3,4.95,-0.225,1
5.4,5,-0.2925,1
6.05,6.05,-0.3425,1
4.75,6.1,-0.4325,1
8.15,5.5,-0.23,1
5.55,5.7,-0.3375,1
7.1,5.85,-0.25,1
6.75,5.3,-0.245,1
6.25,5.8,-0.31,1
7.55,5.25,-0.235,1
6.1,5.2,-0.2975,1
7,5.7,-0.2475,1
5.1,4.7,-0.29,1
5,5.15,-0.325,1
5.35,5.2,-0.3625,1
6.35,6.05,-0.3,1
4.5,5.45,-0.4125,1
5.6,4.95,-0.325,1
8.85,4.85,-0.1725,1
5.6,5.45,-0.325,1
8.3,5.05,-0.1975,1
6.25,5.65,-0.3325,1
4.95,5.7,-0.4,1
6.3,5.1,-0.25,1
9.9,4.7,-0.155,1
7,5.25,-0.2525,1
5.65,5.8,-0.3675,1
6.4,6,-0.2875,1
7.75,5.4,-0.235,1
5.35,5.25,-0.3775,1
4.35,5.4,-0.4675,1
6.55,5.6,-0.3025,1
7.85,5.9,-0.255,1
5,4.9,-0.34,1
9.55,4.85,-0.2025,1
8.25,5.75,-0.25,1
7.9,5.4,-0.2475,1
