epsilon_r,lambda_tf,mu_minus,operational status
5.45,9.35,-0.45,1
4.75,6.7,-0.4275,1
6.15,1.95,-0.1575,1
5.75,4.6,-0.325,1
5.95,6.4,-0.3525,1
8.65,9.2,-0.28,1
7.15,6.2,-0.275,1
6.65,7.9,-0.3275,1
2.15,2,-0.4725,1
7.55,6.55,-0.28,1
4.8,6.05,-0.405,1
4.2,5.85,-0.4775,1
8.7,8.35,-0.265,1
3.75,4.2,-0.43,1
7.4,8.05,-0.2975,1
4.9,7.65,-0.45,1
9.2,8.75,-0.255,1
4.2,5.05,-0.43,1
4.95,8.3,-0.4625,1
7.45,8.1,-0.31,1
4,5.85,-0.495,1
8.5,6.8,-0.255,1
7.45,6.8,-0.285,1
8.2,8.9,-0.2875,1
5.4,5.55,-0.35,1
5.35,9.35,-0.46,1
8.7,8.6,-0.2675,1
6.1,5.3,-0.3125,1
7.7,8.55,-0.3,1
8.25,7.6,-0.26,1
5.4,6.7,-0.395,1
