epsilon_r,lambda_tf,mu_minus,operational status
8.1,4.2,-0.2,1
3.3,2.6,-0.33,1
3.1,2.55,-0.34,1
5.15,4.35,-0.3175,1
9.4,2.75,-0.1125,1
3.95,4.9,-0.4575,1
7.35,9.8,-0.35,1
5.45,6.5,-0.39,1
6.5,6.35,-0.3325,1
7.05,6.45,-0.295,1
4.4,4.65,-0.3975,1
6.5,7.45,-0.345,1
6.8,5.2,-0.2825,1
3.15,2.75,-0.325,1
8.95,5.65,-0.2275,1
3.7,4.4,-0.4575,1
6.9,8,-0.34,1
4.95,4.5,-0.3475,1
6.9,9.3,-0.3575,1
4.7,5.2,-0.385,1
4.85,6.8,-0.455,1
3.45,2.85,-0.33,1
5.9,4.95,-0.3,1
4.25,4.35,-0.4025,1
6.3,3.85,-0.2375,1
5.55,8.05,-0.43,1
3.2,2.5,-0.3075,1
7.05,8.7,-0.3425,1
3.55,4.05,-0.4375,1
7.15,6.8,-0.3125,1
8.55,8.2,-0.2725,1
4.5,6.4,-0.47,1
6.3,5,-0.28,1
5.05,2.55,-0.19,1
5.35,5.6,-0.38,1
7.6,8.2,-0.32,1
4.85,7.45,-0.4725,1
5.3,6.35,-0.4075,1
6.2,9.35,-0.4075,1
3.7,3.95,-0.4275,1
5.8,6.2,-0.3575,1
7.4,7.65,-0.3175,1
9.4,7.05,-0.2425,1
8.1,6.35,-0.2575,1
4.05,2.6,-0.2525,1
7.4,4.3,-0.2275,1
3.9,2.55,-0.25,1
7.4,7.6,-0.305,1
7.9,2.7,-0.1325,1
7.5,5.75,-0.2575,1
8.55,6,-0.2375,1
8.45,8.7,-0.2925,1
4.95,8.65,-0.4825,1
5.7,7.15,-0.3925,1
7.45,5.6,-0.2625,1
5.8,7.95,-0.4125,1
5.85,3.85,-0.25,1
8.75,3.8,-0.1775,1
3.85,3,-0.325,1
5,4.4,-0.3275,1
5,7.2,-0.4425,1
4.85,4.2,-0.3375,1
5.6,6.75,-0.4025,1
7.65,3.95,-0.1975,1
6,9.5,-0.42,1
5.85,7.95,-0.3925,1
6.7,6.6,-0.325,1
9.55,7.6,-0.2475,1
6.35,6,-0.315,1
6.7,8.45,-0.365,1
6.55,3.8,-0.235,1
7.9,2.75,-0.125,1
9.35,6.6,-0.2375,1
4.8,4.65,-0.37,1
7.45,8.35,-0.3225,1
7,5.25,-0.27,1
9.3,8.3,-0.26,1
5.15,6.85,-0.415,1
8.4,3.95,-0.1775,1
8.6,9.85,-0.2925,1
